stop_id,stop_name,stop_lat,stop_lon,zone_id
880806,DUBLIN RANCH DR & GROVELAND LN,37.720158,-121.86539,
880495,EAST AVE & CHARLOTTE WY,37.679783,-121.725206,
880502,EAST AVE & CHARLOTTE WY,37.679926,-121.725217,
880489,EAST AVE & DOLORES ST,37.679928,-121.75617,
880508,EAST AVE & DOLORES ST,37.679947,-121.756948,
880490,EAST AVE & EAST AVENUE MIDDLE SCHOOL,37.679864,-121.750103,
880506,EAST AVE & HILLCREST AVE,37.679979,-121.74945,
880497,EAST AVE &  MADISON AVE,37.679904,-121.742536,
880503,EAST AVE & MINES RD,37.679947,-121.731753,
880494,EAST AVE & MINES RD,37.679816,-121.732841,
880496,EAST AVE & RESEARCH DR,37.679766,-121.72088,
880505,EAST AVE & ROBERT LIVERMORE PARK,37.679919,-121.740659,
880488,EAST AVE & SEVENTH ST,37.679927,-121.761023,
880548,EAST AVE & SOUTH VASCO RD,37.679537,-121.717652,
880501,EAST AVE & SUSAN LN,37.679816,-121.719162,
880866,EAST DUBLIN BART STATION,37.702923,-121.899419,
880860,EAST PLEASANTON BART STATION,37.700958,-121.896753,
880795,FALLON MIDDLE SCHOOL,37.714903,-121.865557,
880758,FALLON RD & ANTONE WY,37.719172,-121.859184,
880762,FALLON RD & ANTONE WY,37.719297,-121.859436,
880752,FALLON RD & BENT TREE DR,37.715411,-121.854253,
880749,FALLON RD & BENT TREE DR,37.715412,-121.854608,
880763,FALLON RD & GLEASON DR,37.716136,-121.856451,
880759,FALLON RD & SIGNAL HILL DR,37.726488,-121.858212,
880761,FALLON RD & SIGNAL HILL DR,37.725747,-121.858465,
880760,FALLON RD & SILVERA RANCH DR,37.732195,-121.866051,
880766,FALLON RD & SILVERA RANCH DR,37.732454,-121.866154,
880370,FIRST ST & INMAN ST,37.684757,-121.762876,
881033,FIRST ST & KOTTINGER DR,37.662307,-121.870784,
880323,FIRST ST & LAS POSITAS RD,37.697903,-121.743343,
880397,FIRST ST & LAS POSITAS RD,37.698526,-121.742597,
880324,FIRST ST & MINES RD,37.694172,-121.747681,
880105,FIRST ST & MINES RD,37.695008,-121.746019,
881151,FIRST ST & NEAL ST,37.659445,-121.873991,
881145,FIRST ST & NEAL ST,37.659383,-121.874014,
880325,FIRST ST &  PORTOLA  AVE,37.69055,-121.753336,
880103,FIRST ST & PORTOLA AVE,37.690132,-121.753886,
880104,FIRST ST & PORTOLA AVE,37.691119,-121.751903,
881040,FIRST ST & RAY ST,37.662601,-121.870509,
880102,FIRST ST & SCOTT ST,37.687961,-121.757945,
880881,FOOTHILL HIGH SCHOOL,37.671032,-121.919748,
880510,FOURTH ST & MAPLE ST,37.681395,-121.764259,
880440,FOURTH ST & M ST,37.678453,-121.77118,
880420,FOURTH ST & M ST,37.678204,-121.772062,
880421,FOURTH ST & P ST,37.677458,-121.774559,
880439,FOURTH ST & P ST,37.677352,-121.774834,
880363,GARAVENTA RANCH RD & MARALISA LN,37.722682,-121.719505,
