stop_id,stop_name,stop_lat,stop_lon,zone_id
60613,2ND & BASSETT,37.341838505,-121.893453999,55638
60614,2ND & JULIAN,37.340701761,-121.892544804,55638
60617,2ND & PASEO DE SAN ANTONIO,37.333709653,-121.88730303,55638
65461,2ND & PASEO DE SAN ANTONIO,37.333918396,-121.88745267,55638
65462,2ND & PASEO DE SAN ANTONIO,37.334111748,-121.88760724,55638
63265,2ND & SAN CARLOS,37.331599035,-121.885830752,55638
63266,2ND & SAN SALVADOR,37.330297245,-121.884862207,55638
65513,2ND & SANTA CLARA,37.336236,-121.889215,55638
63264,2ND & SANTA CLARA,37.336064419,-121.889054528,55638
60616,2ND & SANTA CLARA,37.335618633,-121.888754233,55638
65515,2ND & SANTA CLARA,37.336788,-121.889631,55638
65464,2ND & ST JOHN,37.338502447,-121.89088015,55638
60615,2ND & ST JOHN,37.338313429,-121.89076666,55638
63267,2ND & WILLIAM,37.328834503,-121.883776623,55638
64654,4TH & SAN CARLOS,37.333628002,-121.88448928,55638
65269,4TH & SAN FERNANDO,37.3354256,-121.885848206,55638
65681,6TH & ALEXANDER,37.007448,-121.566615,55638
65523,6TH & ALEXANDER,37.007393,-121.566474,55638
60259,6TH & CARMEL,37.004655313,-121.576266507,55638
60257,6TH & CHURCH,37.006049745,-121.571404822,55638
65710,6TH & EMPIRE,37.347221,-121.891446,55638
60258,6TH & HANNA,37.005335458,-121.573919539,55638
60294,6TH & HANNA,37.005259346,-121.573734229,55638
65712,6TH & JULIAN,37.343016,-121.888334,55638
60322,6TH & MILLER,37.002957405,-121.581608991,55638
60260,6TH & MILLER,37.003098565,-121.581548631,55638
60293,6TH & PRINCEVALLE,37.004359228,-121.576781719,55638
60295,6TH & ROSANNA,37.005742191,-121.572106122,55638
65711,6TH & ST JOHN,37.339982,-121.886061,55638
65227,6TH & WREN,37.003049894,-121.586372303,55638
65226,6TH & WREN,37.002896459,-121.58617767,55638
65569,7TH & EMPIRE,37.347558589,-121.890514327,55638
