trip_id,arrival_time,departure_time,stop_id,stop_sequence
RTD6744488,14:54:00,14:54:00,12011435,6
RTD6744488,14:57:00,14:57:00,12135124,7
RTD6744489,15:00:00,15:00:00,12135125,1
RTD6744489,15:03:00,15:03:00,12011435,2
RTD6744489,15:07:00,15:07:00,12011351,3
RTD6744489,15:30:00,15:30:00,12172250,4
RTD6744489,15:52:00,15:52:00,12011350,5
RTD6744489,15:54:00,15:54:00,12011435,6
RTD6744489,15:57:00,15:57:00,12135124,7
RTD6744509,15:00:00,15:00:00,12135125,1
RTD6744509,15:03:00,15:03:00,12011435,2
RTD6744509,15:07:00,15:07:00,12011351,3
RTD6744509,15:30:00,15:30:00,12172250,4
RTD6744509,15:52:00,15:52:00,12011350,5
RTD6744509,15:54:00,15:54:00,12011435,6
RTD6744509,15:57:00,15:57:00,12135124,7
RTD6744490,16:00:00,16:00:00,12135125,1
RTD6744490,16:03:00,16:03:00,12011435,2
RTD6744490,16:07:00,16:07:00,12011351,3
RTD6744490,16:30:00,16:30:00,12172250,4
RTD6744490,16:52:00,16:52:00,12011350,5
RTD6744490,16:54:00,16:54:00,12011435,6
RTD6744490,16:57:00,16:57:00,12135124,7
RTD6744510,16:00:00,16:00:00,12135125,1
RTD6744510,16:03:00,16:03:00,12011435,2
RTD6744510,16:07:00,16:07:00,12011351,3
RTD6744510,16:30:00,16:30:00,12172250,4
RTD6744510,16:52:00,16:52:00,12011350,5
RTD6744510,16:54:00,16:54:00,12011435,6
RTD6744510,16:57:00,16:57:00,12135124,7
RTD6744511,17:00:00,17:00:00,12135125,1
RTD6744511,17:03:00,17:03:00,12011435,2
RTD6744511,17:07:00,17:07:00,12011351,3
RTD6744511,17:30:00,17:30:00,12172250,4
RTD6744511,17:52:00,17:52:00,12011350,5
RTD6744511,17:54:00,17:54:00,12011435,6
RTD6744511,17:57:00,17:57:00,12135124,7
RTD6744491,17:00:00,17:00:00,12135125,1
RTD6744491,17:03:00,17:03:00,12011435,2
RTD6744491,17:07:00,17:07:00,12011351,3
RTD6744491,17:30:00,17:30:00,12172250,4
RTD6744491,17:52:00,17:52:00,12011350,5
RTD6744491,17:54:00,17:54:00,12011435,6
RTD6744491,17:57:00,17:57:00,12135124,7
RTD6055495,17:00:00,17:00:00,12135125,1
RTD6055495,17:40:00,17:40:00,12011430,2
RTD6055495,17:45:00,17:45:00,12011377,3
RTD6055495,17:48:00,17:48:00,1537439,4
RTD6055495,17:52:00,17:52:00,12011431,5
RTD6055427,18:00:00,18:00:00,12135125,1
RTD6055427,18:10:00,18:10:00,12011430,2
RTD6055427,18:15:00,18:15:00,12011377,3
RTD6055427,18:18:00,18:18:00,1537439,4
RTD6055427,18:22:00,18:22:00,12011431,5
RTD6055428,06:00:00,06:00:00,12135125,1
RTD6055428,06:10:00,06:10:00,12011430,2
RTD6055428,06:15:00,06:15:00,12011377,3
RTD6055428,06:18:00,06:18:00,1537439,4
RTD6055428,06:22:00,06:22:00,12011431,5
RTD6055428,06:26:00,06:26:00,12011386,6
RTD6055428,06:30:00,06:30:00,12011322,7
RTD6055428,06:34:00,06:34:00,12011347,8
RTD6055428,06:39:00,06:39:00,12011445,9
RTD6055428,06:44:00,06:44:00,12135124,10
RTD6055429,06:30:00,06:30:00,12135125,1
RTD6055429,06:40:00,06:40:00,12011430,2
RTD6055429,06:45:00,06:45:00,12011377,3
RTD6055429,06:48:00,06:48:00,1537439,4
RTD6055429,06:52:00,06:52:00,12011431,5
RTD6055429,06:56:00,06:56:00,12011386,6
RTD6055429,07:00:00,07:00:00,12011322,7
RTD6055429,07:04:00,07:04:00,12011347,8
RTD6055429,07:09:00,07:09:00,12011445,9
RTD6055429,07:14:00,07:14:00,12135124,10
RTD6055430,07:00:00,07:00:00,12135125,1
RTD6055430,07:10:00,07:10:00,12011430,2
RTD6055430,07:15:00,07:15:00,12011377,3
RTD6055430,07:18:00,07:18:00,1537439,4
RTD6055430,07:22:00,07:22:00,12011431,5
RTD6055430,07:26:00,07:26:00,12011386,6
RTD6055430,07:30:00,07:30:00,12011322,7
RTD6055430,07:34:00,07:34:00,12011347,8
RTD6055430,07:39:00,07:39:00,12011445,9
RTD6055430,07:44:00,07:44:00,12135124,10
RTD6055431,07:30:00,07:30:00,12135125,1
RTD6055431,07:40:00,07:40:00,12011430,2
RTD6055431,07:45:00,07:45:00,12011377,3
RTD6055431,07:48:00,07:48:00,1537439,4
RTD6055431,07:52:00,07:52:00,12011431,5
RTD6055431,07:56:00,07:56:00,12011386,6
RTD6055431,08:00:00,08:00:00,12011322,7
RTD6055431,08:04:00,08:04:00,12011347,8
RTD6055431,08:09:00,08:09:00,12011445,9
RTD6055431,08:14:00,08:14:00,12135124,10
RTD6055496,08:00:00,08:00:00,12135125,1
RTD6055496,08:10:00,08:10:00,12011430,2
