route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
1,ST,1,Broadway,3,,
15,ST,15,Benicia Schools,3,,
17,ST,17,Benicia Schools,3,,
2,ST,2,Northeast,3,,
20,ST,20,Columbus,3,,
3,ST,3,Glen Cove,3,,
4,ST,4,Tuolumne,3,,
5,ST,5,Fairgrounds,3,,
6,ST,6,Tennessee,3,,
7,ST,7,Springs Rd,3,,
78,ST,78,I-680 Express,3,,
8,ST,8,Benicia Rd,3,,
80,ST,80,I-80 Express,3,,
85,ST,85,Fairfield Express,3,,
