fare_id,route_id
178795,1
178796,10
178797,11
178798,14
178799,15
178800,16
178801,17
178802,18
178803,19
178804,1M
178805,2
178806,20
178807,21
178808,25
178809,250
178810,260
178811,28
178812,3
178813,301
178814,310
178815,311
178816,314
178817,315
178818,316
178819,320
178820,321
178821,35
178822,36
178823,4
178824,5
178825,6
178826,7
178827,9
178828,91X
178829,92X
178830,93X
178831,95X
178832,96X
178833,97X
178834,98X
178835,ALAMOCR
