fare_id,price,currency_type,payment_method,transfers,transfer_duration
179191,5.00,USD,1,0,
179192,1.75,USD,1,0,
179193,1.75,USD,1,0,
179194,1.75,USD,1,0,
179195,1.75,USD,1,0,
179196,1.75,USD,1,0,
179197,1.75,USD,1,0,
179198,1.75,USD,1,0,
179199,1.75,USD,1,0,
179200,1.75,USD,1,0,
179201,1.75,USD,1,0,
179202,1.75,USD,1,0,
179203,1.75,USD,1,0,
179204,1.75,USD,1,0,
179205,1.75,USD,1,0,
